home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
Monmouth,St. Peter's,69,81,99.1,101.8,72.6,0.061,107,105.5,66.3,-0.025,2/9/2020
UNC Greensboro,Samford,95,67,103.7,95.5,67.8,-0.009,98.6,112.6,72.8,0.008,2/9/2020
UCF,Tulsa,83,75,103.5,98.6,67.8,0.002,103.2,93.6,65.8,0.076,2/9/2020
Loyola Chicago,Valparaiso,70,68,103.7,96.8,65.3,0.006,104.5,102.5,69.3,0.02,2/9/2020
Washington St.,Washington,79,67,102.2,98,70.8,-0.002,105.8,93.1,69.8,-0.157,2/9/2020
Texas,Baylor,45,52,104.1,92.6,65.9,0.089,113.5,88.1,66.2,0.016,2/10/2020
Duke,Florida St.,70,65,115.7,91.1,72,-0.009,111.7,91.5,69.9,0.065,2/10/2020
Texas Tech,TCU,88,42,109.8,90.5,67.3,-0.113,105.5,96.1,65.1,-0.005,2/10/2020
Mississippi Valley St.,Alabama A&M,67,61,89.8,117.6,77.1,-0.027,87.9,108.2,67.7,0.014,2/10/2020
Arkansas Pine Bluff,Alabama St.,49,57,79,104.6,66.1,-0.008,86.2,103.4,69.7,-0.022,2/10/2020
Grambling St.,Alcorn St.,80,71,93.1,105.1,68.7,0.046,96.9,111.3,70.1,0.037,2/10/2020
Longwood,Campbell,57,56,91.3,105.1,67.8,-0.001,96.8,105.3,65.6,-0.047,2/10/2020
USC Upstate,Charleston Southern,66,52,95.5,110.8,69.2,0.036,95.4,109.1,66.9,0.033,2/10/2020
Boston University,Colgate,63,79,103.3,102.6,66.3,0.002,107.2,102.5,68.5,0.02,2/10/2020
South Carolina St.,Delaware St.,100,86,94.9,113.2,67.4,0.014,94.1,117.2,74.7,-0.042,2/10/2020
Gardner Webb,High Point,86,55,102.2,106.7,66.2,-0.047,94.5,113.6,66.4,0.035,2/10/2020
Bethune Cookman,Howard,87,68,95.4,105.8,73,0.012,93.6,119.7,70.2,-0.015,2/10/2020
Coppin St.,Maryland Eastern Shore,68,67,89.6,105.3,73.4,0.038,81.7,107.8,67.5,-0.024,2/10/2020
Hampton,UNC Asheville,80,70,104.8,116.7,70.9,0.041,98.7,110.3,71,0.017,2/10/2020
Florida A&M,North Carolina A&T,79,60,94.4,107.3,68.6,0.1,92.3,102.4,73.7,0.068,2/10/2020
Morgan St.,North Carolina Central,57,58,93.2,107.5,69.6,0.039,94.2,103.2,66.6,0.065,2/10/2020
Northern Colorado,Portland St.,71,83,110.2,100.1,65,-0.035,108.8,108.8,71.8,0,2/10/2020
Winthrop,Radford,77,81,104.7,102.1,71.9,-0.044,105.6,106.8,64.3,0.026,2/10/2020
Jackson St.,Southern,67,51,92.8,102.3,68.7,-0.012,97.2,104.8,66.8,0.006,2/10/2020
San Diego St.,New Mexico,82,59,115.1,90.6,64.6,-0.008,105.3,102.4,71.8,0.044,2/11/2020
Dayton,Rhode Island,81,67,119.1,94.1,67.6,0.002,105.2,94.2,71.2,0.068,2/11/2020
Maryland,Nebraska,72,70,113.5,92.4,67,0.037,102,101.3,73.1,-0.047,2/11/2020
Vanderbilt,Kentucky,64,78,104.7,104.5,69.4,-0.061,112.7,95.1,67.7,0.018,2/11/2020
Purdue,Penn St.,76,88,109.3,90.8,64.6,-0.104,110.3,92.4,70.9,0.014,2/11/2020
Illinois,Michigan St.,69,70,110.9,93.7,66,0.022,115.2,91.2,69.1,-0.012,2/11/2020
LSU,Missouri,82,78,118.1,102.4,70,-0.02,104.1,96.7,66.5,-0.057,2/11/2020
Boise St.,Air Force,74,57,107,97.6,69.1,0.025,107.8,110.3,68.8,-0.059,2/11/2020
Tennessee,Arkansas,82,61,106.6,95.8,65.2,-0.02,109.1,95.5,71.2,-0.047,2/11/2020
Akron,Bowling Green,74,59,108.5,98.9,69.4,0.022,104.3,104,70.1,0.142,2/11/2020
Central Michigan,Eastern Michigan,70,73,102,106.4,73.6,-0.036,94.2,96.6,66.8,0.028,2/11/2020
Davidson,Fordham,79,49,112.5,101.9,64.8,-0.094,89.1,95.9,64.8,-0.1,2/11/2020
Toledo,Miami OH,65,57,106.3,105.1,68.1,-0.057,102,107,67.1,-0.022,2/11/2020
Ole Miss,Mississippi St.,83,58,106.3,105.1,68.1,-0.057,113.4,99.8,66.2,-0.001,2/11/2020
Wake Forest,UNC,74,57,108.7,102,70.1,-0.034,113.4,99.8,66.2,-0.001,2/11/2020
Syracuse,NC St.,74,79,112.8,99.6,68.3,-0.06,113.4,99.8,66.2,-0.001,2/11/2020
Ball St.,Northern Illinois,63,59,99.2,94,68,-0.089,99.8,100.8,64.8,0.044,2/11/2020
Virginia,Notre Dame,50,49,99.3,85.1,59.4,0.109,110.7,98.6,68.1,-0.021,2/11/2020
Kansas St.,Oklahoma St.,59,64,102.5,94.2,67.2,-0.129,107.2,94.5,68.4,0.034,2/11/2020
St. Joseph's,St. Bonaventure,56,74,102.5,94.2,67.2,-0.129,106.6,102.2,65.7,0.052,2/11/2020
Colorado St.,Utah St.,72,75,109.3,102.1,69.3,0.045,109.5,94.6,67.4,0.034,2/11/2020
Ohio,Western Michigan,73,61,103.6,103.3,68,-0.01,99.4,105.7,67.4,0.043,2/11/2020
West Virginia,Kansas,49,58,108.3,87.1,69.4,-0.028,115.8,85.5,67.3,0.04,2/12/2020
Georgia Tech,Louisville,64,58,103.1,91.8,70,-0.006,114.5,93.1,67.1,-0.003,2/12/2020
Seton Hall,Creighton,82,87,112.3,92.7,69.8,0.006,118.2,97.3,68.3,0.072,2/12/2020
Auburn,Alabama,95,91,111.4,95.5,69.2,0.103,111,99.5,74.8,-0.076,2/12/2020
Villanova,Marquette,72,71,113.9,94,66.2,0.082,114,96.9,70.7,-0.046,2/12/2020
Butler,Xavier,66,61,112.6,94.2,63.7,0.032,106.1,92.2,68.1,-0.013,2/12/2020
South Florida,Houston,58,62,100.2,95.9,64.9,-0.047,112.7,92.3,65.7,-0.052,2/12/2020
Hartford,Albany,66,60,94.4,101.1,68.2,0.048,94.3,103.9,68.5,0.011,2/12/2020
Miami FL,Boston College,85,58,107.7,101.3,68.3,0.034,99.6,100.3,69.3,0.065,2/12/2020
Navy,Bucknell,60,59,98.1,106,62.5,0.018,96.2,102.9,69.5,0.004,2/12/2020
UC Riverside,UC Irvine,59,63,95.8,99.8,63.2,-0.029,105.4,99.3,67.7,-0.064,2/12/2020
Niagara,Canisius,69,66,100.1,111.6,66,0.068,97.7,105.7,70,-0.04,2/12/2020
