teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Cal St. Bakersfield,BW,104.5,101.1,63.9,19.2,17.4,48.4,50.6,19.6,20.6,38.5,25.7,33.8,34.9,2.67,76.9,0,0
Boston College,ACC,105.7,102.4,71.1,16.8,16.5,49.8,55.5,19.2,18.5,25.4,28.7,33.0,35.4,1.76,77.0,0,0
North Dakota St.,Sum,103.6,100.4,64.9,19.2,16.6,50.4,49.9,18.7,13.8,28.7,19.7,34.1,33.7,1.47,78.1,0,0
Miami OH,MAC,106.9,103.9,66.1,18.4,16.7,50.5,51.8,16.3,18.1,27.9,29.0,36.2,35.3,1.91,75.0,0,0
Drexel,CAA,107.8,104.8,64.2,19.3,16.8,54.3,49.6,19.6,16.4,29.4,24.3,37.2,32.1,1.81,77.1,0,0
Detroit,Horz,110.4,107.4,67.4,18.0,17.2,55.1,54.2,16.8,18.5,27.2,29.1,39.1,36.8,2.36,77.7,0,0
VMI,SC,108.5,105.6,70.2,16.5,17.0,53.8,50.5,16.9,13.4,22.6,25.7,37.0,33.4,1.62,76.4,0,0
Tulane,Amer,99.9,97.1,67.6,17.4,18.1,44.2,49.7,16.6,22.1,22.9,30.6,29.8,35.8,1.06,76.4,0,0
Old Dominion,CUSA,101.8,98.9,67.7,17.8,17.4,48.6,50.0,18.5,19.5,27.8,25.9,29.4,35.5,2.26,76.9,0,0
Cleveland St.,Horz,101.5,98.7,66.3,17.7,17.6,50.7,48.9,18.7,20.2,30.9,31.7,31.9,30.8,2.1,77.0,0,0
Oral Roberts,Sum,109.4,106.7,71.8,16.0,16.9,53.6,50.4,15.7,18.2,23.2,33.0,38.8,35.6,1.53,76.8,0,0
Georgia St.,SB,106.2,103.6,70.8,15.9,17.9,51.3,48.8,16.9,19.7,30.9,32.5,34.5,34.1,1.77,76.4,0,0
Santa Clara,WCC,100.5,98.1,70.7,15.7,17.7,47.7,47.4,17.9,16.9,23.0,24.9,29.9,31.9,1.96,79.0,0,0
Stephen F. Austin,Slnd,103.7,101.2,69.9,16.6,16.5,55.0,50.9,23.5,24.5,36.7,27.4,32.2,34.5,2.42,76.8,0,0
Chattanooga,SC,103.6,101.2,66.7,18.2,16.8,50.4,51.9,15.9,18.8,22.6,25.1,35.4,34.3,2.03,77.1,0,0
Kansas St.,B12,99.8,97.5,65.8,18.8,17.3,47.2,53.0,22.3,19.7,29.9,27.9,30.0,36.3,1.0,76.7,0,0
Navy,Pat,104.7,102.4,66.3,18.3,17.1,50.0,52.4,18.2,22.4,32.2,25.0,32.6,33.6,1.61,76.0,0,0
Jacksonville St.,OVC,105.7,103.5,66.1,18.3,16.8,52.4,48.1,19.9,15.7,32.3,27.9,34.6,32.4,2.18,77.1,0,0
New Mexico St.,WAC,104.3,102.2,65.0,20.0,16.7,49.4,49.5,18.3,18.5,34.3,26.1,32.1,31.8,2.36,76.2,0,0
Northern Iowa,MVC,103.9,102.0,69.1,17.5,17.6,50.0,52.9,19.1,16.8,26.4,21.9,32.2,34.1,1.35,76.7,0,0
Princeton,Ivy,104.7,102.8,66.8,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
Wyoming,MWC,109.9,108.0,69.3,17.4,16.8,53.7,52.9,16.0,18.2,22.9,27.8,35.7,33.0,1.01,77.8,0,0
Northeastern,CAA,99.3,97.5,67.3,18.2,16.8,51.6,48.3,19.5,17.2,20.2,26.3,35.4,32.3,1.09,77.5,0,0
