away,away_score,date,draft_kings,home,home_score,lasso,linear,predict_kp,rf,score
UNC Asheville,79.0,2021-01-19,-0.5,Gardner Webb,75.0,2.0,-1.0,3,-2.0,-4.0
Radford,97.0,2021-01-19,-1.0,Campbell,91.0,-3.0,-4.0,1,-2.0,-6.0
San Diego,69.0,2021-01-19,9.5,Loyola Marymount,72.0,12.0,14.0,7,3.0,3.0
High Point,54.0,2021-01-19,1.0,Longwood,75.0,-1.0,-4.0,1,-9.0,21.0
USC Upstate,,2021-01-19,-1.0,Charleston Southern,,-2.0,-1.0,-1,6.0,
Kansas St.,50.0,2021-01-19,14.0,Oklahoma,76.0,18.0,17.0,14,20.0,26.0
Southeast Missouri St.,63.0,2021-01-19,4.5,Tennessee St.,59.0,-0.0,-3.0,4,-1.0,-4.0
Central Michigan,72.0,2021-01-19,15.0,Toledo,89.0,20.0,21.0,15,6.0,17.0
Winthrop,72.0,2021-01-19,-16.0,Presbyterian,58.0,-19.0,-21.0,-17,-10.0,-14.0
Clemson,65.0,2021-01-20,-1.5,Georgia Tech,83.0,0.0,2.0,-1,10.0,18.0
VCU,54.0,2021-01-20,2.0,St. Bonaventure,70.0,5.0,7.0,3,7.0,16.0
Kentucky,62.0,2021-01-20,-3.5,Georgia,63.0,-1.0,3.0,-3,3.0,1.0
Auburn,73.0,2021-01-20,6.5,Arkansas,75.0,6.0,10.0,6,9.0,2.0
Providence,74.0,2021-01-20,9.0,Creighton,70.0,12.0,13.0,9,6.0,-4.0
Rhode Island,69.0,2021-01-20,-4.5,Duquesne,71.0,-4.0,-1.0,-3,3.0,2.0
Northwestern,52.0,2021-01-20,11.0,Wisconsin,68.0,14.0,12.0,10,4.0,16.0
Tulsa,59.0,2021-01-20,12.5,Houston,86.0,18.0,22.0,12,15.0,27.0
Colorado,80.0,2021-01-20,-13.0,Washington,84.0,-13.0,-14.0,-12,-6.0,4.0
East Tennessee St.,59.0,2021-01-20,-1.5,Western Carolina,48.0,-2.0,1.0,-1,-4.0,-11.0
Abilene Christian,57.0,2021-01-20,-2.5,Sam Houston St.,64.0,-5.0,-4.0,-4,-10.0,7.0
UNC Asheville,57.0,2021-01-20,1.0,Gardner Webb,84.0,1.0,2.0,2,-9.0,27.0
Chattanooga,70.0,2021-01-20,1.0,Samford,64.0,-1.0,3.0,-2,4.0,-6.0
Wake Forest,73.0,2021-01-20,11.5,North Carolina,80.0,14.0,14.0,12,6.0,7.0
Saint Joseph's,85.0,2021-01-20,8.0,George Mason,87.0,10.0,14.0,6,8.0,2.0
Radford,67.0,2021-01-20,-2.0,Campbell,61.0,-5.0,-6.0,1,-1.0,-6.0
Mercer,83.0,2021-01-20,-7.5,The Citadel,63.0,-9.0,-10.0,-6,-0.0,-20.0
Furman,73.0,2021-01-20,-11.5,VMI,74.0,-10.0,-9.0,-10,-3.0,1.0
Loyola Chicago,75.0,2021-01-20,-11.5,Valparaiso,39.0,-15.0,-15.0,-11,-13.0,-36.0
Southeastern Louisiana,92.0,2021-01-20,2.5,McNeese St.,88.0,1.0,3.0,1,0.0,-4.0
High Point,54.0,2021-01-20,-2.0,Longwood,67.0,2.0,0.0,3,9.0,13.0
Bradley,56.0,2021-01-20,-9.0,Illinois St.,71.0,-10.0,-16.0,-8,-5.0,15.0
Texas A&M Corpus Chris,68.0,2021-01-20,4.0,New Orleans,87.0,3.0,5.0,3,12.0,19.0
Fresno St.,51.0,2021-01-20,14.0,Boise St.,73.0,12.0,11.0,13,21.0,22.0
Nicholls St.,92.0,2021-01-20,-8.0,Houston Baptist,83.0,-9.0,-9.0,-8,-1.0,-9.0
Northwestern St.,74.0,2021-01-20,15.5,Stephen F. Austin,86.0,18.0,22.0,12,23.0,12.0
Fordham,58.0,2021-01-20,18.0,Davidson,73.0,21.0,20.0,15,15.0,15.0
Winthrop,78.0,2021-01-20,-16.0,Presbyterian,66.0,-19.0,-23.0,-16,-6.0,-12.0
USC,,2021-01-21,-5.0,Stanford,,1.0,-1.0,-2,2.0,
Arizona,84.0,2021-01-21,-2.5,Arizona St.,82.0,-4.0,-3.0,-3,0.0,-2.0
Indiana,81.0,2021-01-21,9.5,Iowa,69.0,12.0,12.0,10,13.0,-12.0
Wichita St.,52.0,2021-01-21,2.5,Memphis,72.0,8.0,10.0,2,-4.0,20.0
Colorado St.,84.0,2021-01-21,7.5,Utah St.,76.0,9.0,9.0,7,7.0,-8.0
Utah,71.0,2021-01-21,-2.0,Washington St.,56.0,-0.0,-4.0,-3,5.0,-15.0
Saint Mary's,65.0,2021-01-21,-2.5,Loyola Marymount,61.0,-1.0,-3.0,-1,1.0,-4.0
San Francisco,73.0,2021-01-21,-4.0,Santa Clara,50.0,-2.0,-3.0,-2,-1.0,-23.0
Pacific,68.0,2021-01-21,3.0,Pepperdine,85.0,-1.0,1.0,1,-13.0,17.0
UCLA,61.0,2021-01-21,-9.0,California,57.0,-11.0,-8.0,-8,-3.0,-4.0
Bowling Green,77.0,2021-01-21,-4.5,Miami OH,96.0,-1.0,1.0,-3,-3.0,19.0
Eastern Washington,76.0,2021-01-21,-3.5,Northern Colorado,78.0,-3.0,-3.0,-4,-1.0,2.0
Southern Utah,67.0,2021-01-21,2.5,Weber St.,91.0,-3.0,-3.0,-1,2.0,24.0
Montana,78.0,2021-01-21,-1.5,Sacramento St.,66.0,2.0,3.0,-1,7.0,-12.0
